Date,St,R,Mo,Es,N,FileName
20201024,T01_X,192.10553,1635336.91256455,1.51617771905758,43,20201024_T01_X_N_43.mat
20221112,T03,119.52613673615,252727.067572432,0.0028710578002205,64,20221112_T03_N_64.mat
20190706,T01,133.925638601866,621138.84439662,0.0246148022763406,10,20190706_T01_N_10.mat
20190706,T03,55.7765834982825,415019.962792091,0.0308350283614843,62,20190706_T03_N_62.mat
20190706,T01,137.549492740151,242616.863139943,0.0023197687248076,23,20190706_T01_N_23.mat
20201024,T01_Y,101.14636,1542459.50533842,0.728324966609756,31,20201024_T01_Y_N_31.mat
20190706,T03,104.789922188263,710856.36382492,0.0689947669755457,34,20190706_T03_N_34.mat
20221112,T04,132.964900409618,813253.085834208,0.00226625761378,49,20221112_T04_N_49.mat
20231118,T03,182.837520703492,888288.481904619,0.0945602018826998,25,20231118_T03_N_25.mat
20231216,T53,98.4678804081705,6834115.88632793,1.00795325464715,33,20231216_T53_N_33.mat
20231118,T02,190.951254138328,736904.523299611,0.156508181294843,60,20231118_T02_N_60.mat
20201024,T01_Y,127.25732,369954.145094733,0.0250136871070213,15,20201024_T01_Y_N_15.mat
20231118,T03,121.20216572735,1174895.08614872,0.632728430441505,51,20231118_T03_N_51.mat
20231118,T02,188.776125230391,2900252.26656273,0.578828250745613,57,20231118_T02_N_57.mat
20190706,T03,64.4016791128549,239895.548604674,0.0145547029682532,16,20190706_T03_N_16.mat
20190706,T03,202.061017941473,1957932.08608337,0.409435169082347,50,20190706_T03_N_50.mat
20190706,T01,156.905423796193,428154.072316481,0.0065680125866044,94,20190706_T01_N_94.mat
20231118,T03,64.7323642160546,9945123.39992412,128.967711342981,12,20231118_T03_N_12.mat
20221112,T01,139.412682124331,7744593.08333137,0.631401524049441,4,20221112_T01_N_04.mat
20221112,T04,234.62727166845,453802.827744308,0.0028088628437068,11,20221112_T04_N_11.mat
20201024,T01_X,133.79375,347290.099295005,0.160027048438576,3,20201024_T01_X_N_03.mat
20190706,T02,66.3666055494523,619928.647087455,0.0094041079916498,91,20190706_T02_N_91.mat
