Date;St;R;Mo;Es;N;FileName;test_Mo;test_Es
20190706;T02;64.4016792703042;139725.435615628;0.0135651806238521;16;20190706_T02_N_16.mat;163647.48929579894;0.01002613498281936
20190706;T02;289.472287056013;1060022.71082022;0.0380150888181164;17;20190706_T02_N_17.mat;1770766.5504847928;0.05797205632687421
20190706;T02;72.7752449989997;251146.47843254;0.0049253024431204;18;20190706_T02_N_18.mat;240406.3013409898;0.004714488801371621
20190706;T02;133.001289959143;554407.070153535;0.0355081808648051;19;20190706_T02_N_19.mat;641902.4099937597;0.05016803962375704
20190706;T02;85.4613544793983;2075693.89455175;0.049750650957191;20;20190706_T02_N_20.mat;3073793.8671407904;0.0801161221140628
20190706;T02;104.748087006731;3685618.77767984;0.243644591477305;21;20190706_T02_N_21.mat;4179040.1303847954;0.26233361754524137
20190706;T02;89.1859240895396;238256.248215667;0.0186730233739593;22;20190706_T02_N_22.mat;284715.58709883876;0.011452815503240128
20190706;T02;94.4052614268545;328839.835045743;0.0087798278469919;23;20190706_T02_N_23.mat;333503.0010498954;0.005928310566205764
20190706;T02;96.8936638895736;423279.828624674;0.0155358176725693;24;20190706_T02_N_24.mat;436414.4349151952;0.01584990409578466
20190706;T02;108.926186162413;483137.715357711;0.0363037175573314;25;20190706_T02_N_25.mat;667119.7338640651;0.05704968282900091
20190706;T02;140.360650445151;537584.00992923;0.0191302694977935;26;20190706_T02_N_26.mat;673925.0793243747;0.029070082478674347
20190706;T02;60.9949169862026;175063.804822421;0.0029405702824116;27;20190706_T02_N_27.mat;187090.38935574272;0.004109596368381233
20190706;T02;67.8083177812023;189705.287456075;0.0017228621613072;28;20190706_T02_N_28.mat;219417.91559104808;0.0029182731077989285
20190706;T02;124.380148443577;3091278.10448787;0.191206476283521;29;20190706_T02_N_29.mat;1948368.3678490021;0.10629052504992767
20190706;T02;110.14488102323;307057.991183705;0.0205141727282816;30;20190706_T02_N_30.mat;320322.88095933903;0.021994631127625393
20190706;T02;108.784483766057;826766.75041311;0.0331984548667733;31;20190706_T02_N_31.mat;745905.1707866689;0.053342289233126165
20190706;T02;436.342431966016;2429938.04385545;0.49416148184358;32;20190706_T02_N_32.mat;2420545.391616795;0.40848033018193375
20190706;T02;55.8712446961076;300314.341444052;0.0058533544968919;33;20190706_T02_N_33.mat;298265.66820790287;0.006325343885824126
