NNN,Date,St,R,Mo,Es,FileName
56,20190706,T01,174.966145363192,1985681.84203456,0.704095950929957,20190706_T01_N_56.mat
57,20190706,T01,189.815132079341,493240.297725139,0.018989652640082,20190706_T01_N_57.mat
58,20190706,T01,207.681223913757,758397.616371268,0.0213028471114967,20190706_T01_N_58.mat
59,20190706,T01,237.149550786642,723577.323072373,0.0212106721240922,20190706_T01_N_59.mat
60,20190706,T01,141.640524149886,711867.599950435,0.0216027808997083,20190706_T01_N_60.mat
61,20190706,T01,158.703119411915,312196.067509561,0.0154199661839141,20190706_T01_N_61.mat
62,20190706,T01,137.644617088867,266870.265057227,0.00231624246450223,20190706_T01_N_62.mat
63,20190706,T01,138.969528705998,246013.71596012,0.00531758940892091,20190706_T01_N_63.mat
64,20190706,T01,123.354938645102,227318.910861693,0.0018577305251016,20190706_T01_N_64.mat
65,20190706,T01,119.804435062971,154324.874182165,0.00089201726187913,20190706_T01_N_65.mat
66,20190706,T01,122.34184328948,186345.353337864,0.00209275438895102,20190706_T01_N_66.mat
67,20190706,T01,145.518752517049,300373.398554443,0.00828841173267865,20190706_T01_N_67.mat
68,20190706,T01,124.105145254136,133845.500625482,0.00124078117070068,20190706_T01_N_68.mat
69,20190706,T01,163.951192311301,291977.992127173,0.00505184696842623,20190706_T01_N_69.mat
70,20190706,T01,129.703916858021,305441.915170034,0.00554087372890043,20190706_T01_N_70.mat
71,20190706,T01,139.548822632823,263431.303506362,0.00257844345083712,20190706_T01_N_71.mat
72,20190706,T01,115.350731161577,149598.360054158,0.00157446713799003,20190706_T01_N_72.mat
73,20190706,T01,129.456223225468,498267.544644511,0.00857196771562049,20190706_T01_N_73.mat
74,20190706,T01,146.423586431949,266740.521307836,0.00788810097306078,20190706_T01_N_74.mat
75,20190706,T01,123.261631608849,214073.994740015,0.00455158128866664,20190706_T01_N_75.mat
76,20190706,T01,189.949496673095,1007617.30010419,0.129253074793322,20190706_T01_N_76.mat
77,20190706,T01,219.600472674686,725493.500466102,0.0513190650517072,20190706_T01_N_77.mat
78,20190706,T01,138.996191246735,285974.391349819,0.00862453659365215,20190706_T01_N_78.mat
79,20190706,T01,143.895843181445,315936.504762016,0.00913036198167304,20190706_T01_N_79.mat
80,20190706,T01,146.447122272565,274718.362866781,0.00650707426538923,20190706_T01_N_80.mat
81,20190706,T01,134.305833090618,391705.885840591,0.00475350204995166,20190706_T01_N_81.mat
82,20190706,T01,122.421738245143,206750.963463076,0.00207250630394604,20190706_T01_N_82.mat
83,20190706,T01,116.473083067941,181087.766207068,0.00307415596618196,20190706_T01_N_83.mat
84,20190706,T01,167.329553692202,402259.218968812,0.0146445181508837,20190706_T01_N_84.mat
85,20190706,T01,125.615661986519,193297.569970081,0.00325740965928267,20190706_T01_N_85.mat
86,20190706,T01,152.779399454316,341913.814775469,0.00866956780873955,20190706_T01_N_86.mat
87,20190706,T01,146.693926720527,305124.233914394,0.0111187767223498,20190706_T01_N_87.mat
88,20190706,T01,293.272150615626,945347.3832224,0.0661661833541353,20190706_T01_N_88.mat
89,20190706,T01,130.688676674557,210732.975638069,0.00208743011321437,20190706_T01_N_89.mat
90,20190706,T01,121.037888748183,172956.882994398,0.00254272551517084,20190706_T01_N_90.mat
91,20190706,T01,120.050797948854,595387.179122886,0.00673751483587352,20190706_T01_N_91.mat
92,20190706,T01,140.387698649358,587090.106670306,0.011815323330244,20190706_T01_N_92.mat
93,20190706,T01,148.952404680368,2462328.90231002,0.144450976523148,20190706_T01_N_93.mat
94,20190706,T01,156.905423796193,428154.072316481,0.00656801258660443,20190706_T01_N_94.mat
1,20190706,T02,120.9902869297,8109582.20142769,0.319297966658998,20190706_T02_N_01.mat
2,20190706,T02,96.1305314317295,6346445.30594196,0.164758449957339,20190706_T02_N_02.mat
3,20190706,T02,151.109708374857,6631931.34999515,0.294924407020527,20190706_T02_N_03.mat
4,20190706,T02,86.1055780646074,958188.271506966,0.0872540249504047,20190706_T02_N_04.mat
5,20190706,T02,84.7387118588525,2047740.86550823,0.0271229790370259,20190706_T02_N_05.mat
